id,nama_kelurahan,puskesmas_id,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04
45,sarirejo,31,1,1,0,1,1,1,0,2,1,1,1,0,2,2,1,0,0,1,0,1,2,2,0,3,2,1,0,2,3,5,0,3,0,2,1,1,0,3,6,2
46,rejosari,31,4,3,2,3,0,0,1,1,0,2,0,0,1,4,5,1,1,0,0,2,2,5,2,3,6,1,4,2,4,6,2,4,3,4,3,5,2,2,5,1
47,banjardowo,10,1,0,3,0,0,0,1,1,1,0,0,1,2,1,2,3,1,1,0,2,4,3,2,4,5,0,2,3,0,1,0,6,1,1,8,8,2,1,2,2
48,sembungharjo,9,2,2,2,3,1,5,2,0,1,1,1,0,0,1,0,1,0,2,3,4,1,3,1,3,5,1,0,4,2,0,1,2,1,2,7,6,8,1,5,2
49,bangetayu kulon,9,4,4,9,0,1,2,0,2,5,3,1,0,2,5,6,2,1,3,0,1,4,2,2,4,6,6,6,2,4,2,5,7,9,10,8,3,5,3,7,1
50,bangetayu wetan,9,4,2,7,2,1,2,0,0,2,0,0,1,0,2,1,0,0,1,2,1,1,0,2,3,5,1,1,5,3,6,6,4,7,8,4,7,5,5,3,1
51,genuksari,10,0,4,2,1,0,0,1,3,3,0,0,1,2,1,1,1,4,0,2,0,3,0,1,4,6,2,7,3,6,3,3,5,3,6,8,5,4,5,4,3
52,gebangsari,10,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,3,0,0,1,2,1,0,0,2,1,2,2,1,0,2,0
53,terboyo wetan,10,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
54,muktiharjo lor,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,1,1,0,0,0,0,0,1,0,2,1,1,1,1,1,1,0
